WARNING  paddle.distributed.flex_checkpoint.aoa.aoa_engine:aoa_engine.py:176 No shard information found for any of the keys: ['model.layers.0.self_attn.qkv_proj.weight_transpose_tmp', 'model.layers.0.self_attn.qkv_proj.weight_transpose_tmp.w_0', 'model.layers.0.self_attn.qkv_proj.weight_transpose_tmp.moment1_0', 'model.layers.0.self_attn.qkv_proj.weight_transpose_tmp.moment2_0'], return 1.
WARNING  paddle.distributed.flex_checkpoint.aoa.aoa_engine:aoa_engine.py:176 No shard information found for any of the keys: ['model.layers.1.self_attn.qkv_proj.weight_transpose_tmp', 'model.layers.1.self_attn.qkv_proj.weight_transpose_tmp.w_0', 'model.layers.1.self_attn.qkv_proj.weight_transpose_tmp.moment1_0', 'model.layers.1.self_attn.qkv_proj.weight_transpose_tmp.moment2_0'], return 1.
WARNING  paddle.distributed.flex_checkpoint.aoa.aoa_engine:aoa_engine.py:176 No shard information found for any of the keys: ['model.layers.2.self_attn.qkv_proj.weight_transpose_tmp', 'model.layers.2.self_attn.qkv_proj.weight_transpose_tmp.w_0', 'model.layers.2.self_attn.qkv_proj.weight_transpose_tmp.moment1_0', 'model.layers.2.self_attn.qkv_proj.weight_transpose_tmp.moment2_0'], return 1.
WARNING  paddle.distributed.flex_checkpoint.aoa.aoa_engine:aoa_engine.py:176 No shard information found for any of the keys: ['model.layers.3.self_attn.qkv_proj.weight_transpose_tmp', 'model.layers.3.self_attn.qkv_proj.weight_transpose_tmp.w_0', 'model.layers.3.self_attn.qkv_proj.weight_transpose_tmp.moment1_0', 'model.layers.3.self_attn.qkv_proj.weight_transpose_tmp.moment2_0'], return 1.
WARNING  paddle.distributed.flex_checkpoint.aoa.aoa_engine:aoa_engine.py:176 No shard information found for any of the keys: ['model.layers.4.self_attn.qkv_proj.weight_transpose_tmp', 'model.layers.4.self_attn.qkv_proj.weight_transpose_tmp.w_0', 'model.layers.4.self_attn.qkv_proj.weight_transpose_tmp.moment1_0', 'model.layers.4.self_attn.qkv_proj.weight_transpose_tmp.moment2_0'], return 1.
WARNING  paddle.distributed.flex_checkpoint.aoa.aoa_engine:aoa_engine.py:176 No shard information found for any of the keys: ['model.layers.5.self_attn.qkv_proj.weight_transpose_tmp', 'model.layers.5.self_attn.qkv_proj.weight_transpose_tmp.w_0', 'model.layers.5.self_attn.qkv_proj.weight_transpose_tmp.moment1_0', 'model.layers.5.self_attn.qkv_proj.weight_transpose_tmp.moment2_0'], return 1.
WARNING  paddle.distributed.flex_checkpoint.aoa.aoa_engine:aoa_engine.py:176 No shard information found for any of the keys: ['model.layers.6.self_attn.qkv_proj.weight_transpose_tmp', 'model.layers.6.self_attn.qkv_proj.weight_transpose_tmp.w_0', 'model.layers.6.self_attn.qkv_proj.weight_transpose_tmp.moment1_0', 'model.layers.6.self_attn.qkv_proj.weight_transpose_tmp.moment2_0'], return 1.
WARNING  paddle.distributed.flex_checkpoint.aoa.aoa_engine:aoa_engine.py:176 No shard information found for any of the keys: ['model.layers.7.self_attn.qkv_proj.weight_transpose_tmp', 'model.layers.7.self_attn.qkv_proj.weight_transpose_tmp.w_0', 'model.layers.7.self_attn.qkv_proj.weight_transpose_tmp.moment1_0', 'model.layers.7.self_attn.qkv_proj.weight_transpose_tmp.moment2_0'], return 1.
WARNING  paddle.distributed.flex_checkpoint.aoa.aoa_engine:aoa_engine.py:176 No shard information found for any of the keys: ['model.layers.0.mlp.gate_up_proj.weight_transpose_tmp', 'model.layers.0.mlp.gate_up_proj.weight_transpose_tmp.w_0', 'model.layers.0.mlp.gate_up_proj.weight_transpose_tmp.moment1_0', 'model.layers.0.mlp.gate_up_proj.weight_transpose_tmp.moment2_0'], return 1.
WARNING  paddle.distributed.flex_checkpoint.aoa.aoa_engine:aoa_engine.py:176 No shard information found for any of the keys: ['model.layers.1.mlp.gate_up_proj.weight_transpose_tmp', 'model.layers.1.mlp.gate_up_proj.weight_transpose_tmp.w_0', 'model.layers.1.mlp.gate_up_proj.weight_transpose_tmp.moment1_0', 'model.layers.1.mlp.gate_up_proj.weight_transpose_tmp.moment2_0'], return 1.
WARNING  paddle.distributed.flex_checkpoint.aoa.aoa_engine:aoa_engine.py:176 No shard information found for any of the keys: ['model.layers.2.mlp.gate_up_proj.weight_transpose_tmp', 'model.layers.2.mlp.gate_up_proj.weight_transpose_tmp.w_0', 'model.layers.2.mlp.gate_up_proj.weight_transpose_tmp.moment1_0', 'model.layers.2.mlp.gate_up_proj.weight_transpose_tmp.moment2_0'], return 1.
